"motif_id","motif_name","ic_score"
"MA0708.3","MSX2",9.70419290504437
"MA1108.3","MXI1",10.7291644188551
"MA0100.4","MYB",10.9721577196203
"MA0104.5","MYCN",11.5832343684793
"MA1641.2","MYF5",11.6793198354008
"MA0499.3","MYOD1",11.6357234812185
"MA0500.3","MYOG",11.599180360759
"MA0056.3","MZF1",11.1285189357865
"MA1109.2","NEUROD1",11.740596599878
"MA1642.2","NEUROG2",10.7775682955579
"MA0625.3","NFATC3",8.1135616638204
"MA1525.3","NFATC4",11.7396897959867
"MA0670.2","NFIA",11.9971740074589
"MA1643.2","NFIB",18.713070779743
"MA0161.3","NFIC",10.4960837516708
"MA1527.2","NFIC",18.1313327409363
"MA0025.3","NFIL3",11.318824782531
"MA1528.2","NFIX",15.6339547236602
"MA0778.2","NFKB2",16.1756956405487
"MA0060.4","NFYA",11.5337602931118
"MA0502.3","NFYB",11.913947478345
"MA1644.2","NFYC",10.0428742578523
"MA1529.2","NHLH2",17.9590803223833
"MA1645.2","NKX2-2",10.6422684860041
"MA0672.2","NKX2-3",10.6282719479366
"MA2003.2","NKX2-4",8.9255625206352
"MA0063.3","NKX2-5",10.1909462839861
"MA0673.2","NKX2-8",8.88329487760155
"MA0674.2","NKX6-1",9.0729287051786
"MA1530.2","NKX6-3",10.3809838959677
"MA0710.2","NOTO",9.38291224693657
"MA1531.2","NR1D1",18.9687154909841
"MA1146.2","NR1H4::RXRA",12.4548071835707
"MA1533.2","NR1I2",13.6307889682101
"MA1534.2","NR1I3",10.5117207981828
"MA1535.2","NR2C1",9.61236115018918
"MA0504.2","NR2C2",15.749096003762
"MA0017.3","NR2F1",13.1296763339564
"MA1537.2","NR2F1",20.0813690253375
"MA1111.2","NR2F2",10.9086956768003
"MA0113.4","NR3C1",18.9274296574016
"MA0727.2","NR3C2",18.7648721119741
"MA1112.3","NR4A1",11.9826261172228
"MA0160.3","NR4A2",11.0144167625819
"MA1147.2","NR4A2::RXRA",13.9016276128501
"MA1541.2","NR6A1",15.2716852076905
"MA0842.3","NRL",14.8362390934437
"MA0679.3","ONECUT1",13.2546499329738
"MA0757.2","ONECUT3",16.6997063846103
"MA1542.2","OSR1",12.20005734568
"MA1646.2","OSR2",10.1885940718724
"MA0711.2","OTX1",9.13128773207267
"MA0712.3","OTX2",10.3475344512397
"MA1544.2","OVOL1",14.5203250624084
"MA1545.2","OVOL2",11.9061115700822
"MA1961.2","PATZ1",14.1303161770433
"MA0067.3","PAX2",16.9488096479687
"MA1546.2","PAX3",14.5627426905153
"MA0070.2","PBX1",9.43288779300837
"MA1113.3","PBX2",11.7073107427921
"MA1114.2","PBX3",12.952244146958
"MA0132.3","PDX1",9.66370727614026
"MA0681.3","PHOX2B",14.4019919193493
"MA0714.2","PITX3",8.59043953948497
"MA0782.3","PKNOX1",12.2074210016105
"MA1548.2","PLAGL2",11.8944939749778
"MA0784.3","POU1F1",19.766657446082
"MA0785.2","POU2F1",11.5231265778211
"MA0507.3","POU2F2",17.930529683505
"MA0627.3","POU2F3",13.0682849150876
"MA0786.2","POU3F1",11.5398722615125
"MA0790.2","POU4F1",12.7031974131033
"MA0683.2","POU4F2",20.7066995594615
"MA0791.2","POU4F3",13.0962493066989
"MA1115.2","POU5F1",9.80696036962538
"MA0628.2","POU6F1",9.25283046857042
"MA1549.2","POU6F1",10.4362204804577
"MA0793.2","POU6F2",11.3980408932753
"MA1148.2","PPARA::RXRA",12.3232941464063
"MA1550.2","PPARD",20.0379460237395
"MA0066.2","PPARG",15.2790852013158
"MA0508.4","PRDM1",11.1557533778696
"MA1723.2","PRDM9",15.4603392158952
"MA0716.2","PRRX1",8.04796319969512
"MA0075.4","PRRX2",10.956430321608
"MA1149.2","RARA::RXRG",13.0080064429699
"MA1552.2","RARB",15.5918069515458
"MA1553.2","RARG",15.6372093681635
"MA0718.2","RAX",9.02559840086168
"MA1116.2","RBPJ",10.9587211780118
"MA1117.2","RELB",9.74964521039795
"MA0138.3","REST",22.724693471386
"MA0600.3","RFX2",19.8974428872707
"MA0799.3","RFX4",19.7814434222408
"MA0510.3","RFX5",20.0938139356332
"MA1554.2","RFX7",8.80106067345412
"MA0719.2","RHOXF1",8.10084398162495
"MA0072.2","RORA",13.3277480112458
"MA1150.2","RORB",9.24838735164769
"MA1151.2","RORC",9.68774554894153
"MA0073.2","RREB1",11.6745749749678
"MA0684.3","RUNX3",10.1667320276789
"MA1963.2","SATB1",11.9103708490388
"MA0743.3","SCRT1",13.2062349778753
"MA0744.3","SCRT2",12.6405211961391
"MA1118.2","SIX1",11.3869641132741
"MA1119.2","SIX2",12.4051259492415
"MA1964.2","SMAD2",10.5506386918483
"MA1558.2","SNAI1",10.7116753721016
"MA0745.3","SNAI2",12.5979310356078
"MA1559.2","SNAI3",13.182967131448
"MA1560.2","SOHLH2",11.0709333631404
"MA0442.3","SOX10",10.6409603017789
"MA1561.2","SOX12",13.1300359444095
"MA1120.2","SOX13",9.97079120221925
"MA1562.2","SOX14",12.3099961122559
"MA1152.2","SOX15",8.94305838467198
"MA0867.3","SOX4",10.8880496651914
"MA0868.3","SOX8",9.53346770724304
"MA0077.2","SOX9",8.03011998540528
"MA0746.3","SP3",14.6415666885141
"MA1965.2","SP5",11.5914358309662
"MA0747.2","SP8",11.2993818648605
"MA1564.2","SP9",11.2284340210256
"MA0081.3","SPIB",14.2784107721116
"MA0687.2","SPIC",12.657940501666
"MA0829.3","SREBF1",13.2864027450155
"MA0137.4","STAT1",14.0359128898545
"MA0517.2","STAT1::STAT2",15.5108895007969
"MA0144.3","STAT3",12.5764271127705
"MA0091.2","TAL1::TCF3",11.3668002523312
"MA0802.2","TBR1",12.1956361402086
"MA1565.2","TBX18",10.6814516628352
"MA0804.2","TBX19",16.9741716785561
"MA0688.2","TBX2",9.96238331625708
"MA1648.2","TCF12",9.53116470001698
"MA1568.2","TCF21",11.4871691098058
"MA0830.3","TCF4",10.6002685555989
"MA0769.3","TCF7",10.6108504704107
"MA0523.2","TCF7L2",12.7411529877954
"MA0632.3","TCFL5",11.1221890321959
"MA0090.4","TEAD1",12.4159077985339
"MA1121.2","TEAD2",10.3667190704521
"MA0809.3","TEAD4",11.3130329583436
"MA0810.2","TFAP2A",10.5176919023952
"MA0003.5","TFAP2A",11.4445382553503
"MA0811.2","TFAP2B",10.5606646774567
"MA0812.2","TFAP2B",12.1412662883379
"MA0524.3","TFAP2C",10.1551429512139
"MA0814.3","TFAP2C",11.357218502844
"MA1569.2","TFAP2E",11.6241793515294
"MA1966.2","TFAP4::ETV1",14.4527541942374
"MA1967.2","TFAP4::FLI1",20.8061606169247
"MA1968.2","TFCP2",11.2441754252689
"MA1122.2","TFDP1",10.896731821216
"MA0692.2","TFEB",10.7456092626291
"MA0871.3","TFEC",14.245184188396
"MA0597.3","THAP1",10.6458475317474
"MA1969.2","THRA",18.9913455946339
"MA1574.2","THRB",15.7969958316707
"MA1575.2","THRB",17.616188853325
"MA1576.2","THRB",20.9224176028432
"MA1577.2","TLX2",10.3201510286161
"MA0861.2","TP73",16.9249618491878
"MA1970.2","TRPS1",10.2082450027613
"MA1123.3","TWIST1",11.0879681488237
"MA0093.4","USF1",12.8434448339427
"MA0526.5","USF2",16.0404324135181
"MA1578.2","VEZF1",10.6037423321415
"MA0725.2","VSX1",8.06102162725241
"MA0726.2","VSX2",9.15835253481659
"MA0844.2","XBP1",14.736838539791
"MA0748.3","YY2",10.3673965372019
"MA0749.2","ZBED1",18.7495033396818
"MA1971.2","ZBED2",10.3391926098457
"MA1649.2","ZBTB12",10.0047873159298
"MA1650.2","ZBTB14",11.1965003647953
"MA0698.2","ZBTB18",15.3216582236687
"MA1579.2","ZBTB26",11.3378325587512
"MA0527.2","ZBTB33",12.9290556983456
"MA1581.2","ZBTB6",11.870091396987
"MA0750.3","ZBTB7A",11.1338201685803
"MA0694.2","ZBTB7B",13.4150783895048
"MA0695.2","ZBTB7C",9.64132254288811
"MA0103.4","ZEB1",10.5892612569977
"MA1651.2","ZFP42",15.2084693755555
