gene	log2FC	pvalue	adj_pvalue	significant
LURAP1L	-2.16034399822192	6.29624957367117e-07	0.00233527896687464	TRUE
ENSG00000224848	-1.39719349910709	6.59401838935585e-07	0.00244572142061209	TRUE
ENSG00000227681	3.34807262545015	7.69849169881985e-07	0.00285537057109228	TRUE
UTRN	-3.05416228227846	7.79546682105412e-07	0.00289133864392897	TRUE
ATP8B4	-3.68766381578706	8.02633959145044e-07	0.00297696935446897	TRUE
ENSG00000226471	2.06394412087538	8.36761411233121e-07	0.00310354807426364	TRUE
PRKG2	-3.09884385325987	8.40250012636888e-07	0.00311648729687022	TRUE
EPHA4	-1.92675863621806	8.83221182486966e-07	0.00327586736584416	TRUE
ENSG00000233420	-7.26993317898713	1.00010807518347e-06	0.0037094008508555	TRUE
ENSG00000287100	-3.98269943767463	1.26968222026675e-06	0.00470925135496938	TRUE
COL24A1	-1.28501738088685	1.37790522909734e-06	0.00511065049472204	TRUE
TBC1D1	-5.0321189900963	1.39488506756279e-06	0.00517362871559038	TRUE
ENSG00000237720	-4.8677179507866	1.51950478790682e-06	0.00563584325834639	TRUE
CPED1	2.82886925205791	1.56337361726025e-06	0.00579855274641827	TRUE
LINC02254	1.59185159321993	1.63477992008416e-06	0.00606339872359217	TRUE
SLC8A1-AS1	-1.30097443580686	2.00079468403999e-06	0.00742094748310433	TRUE
GPX1	-1.5015798363729	2.08289811380994e-06	0.00772546910412107	TRUE
CPLX2	-1.31971430261697	2.24789564943449e-06	0.00833744496375252	TRUE
ANOS1	-7.0676597581009	2.35849527354507e-06	0.00874765896957867	TRUE
FSTL4	3.65925215042316	2.46445331456885e-06	0.00914065734373585	TRUE
CASP8	-4.04838760671408	2.78821947652062e-06	0.010341506038415	TRUE
SLC35F3	-4.66312128611224	2.98270996371276e-06	0.0110628712554106	TRUE
ADARB2-AS1	-1.33661872626659	3.21547847320768e-06	0.0119262096571273	TRUE
PARVA	-1.87039457578155	3.38467491505129e-06	0.0125537592599252	TRUE
TMLHE-AS1	8.46354251937465	3.41145128654831e-06	0.0126530728218077	TRUE
WNT5A	-6.38460036799709	3.49300467997632e-06	0.0129555543580322	TRUE
LINC02232	1.79553328688774	3.54840864801685e-06	0.0131610476754945	TRUE
ITGB5	-5.13937944805172	3.76377309340662e-06	0.0139598344034452	TRUE
OXR1-AS1	-1.86134380059197	4.10244299899377e-06	0.0152159610832679	TRUE
SCN1A-AS1	-1.8697618452016	4.38395053595377e-06	0.0162600725378525	TRUE
EPB41L4B	-4.08848047781533	4.48765456290324e-06	0.0166447107738081	TRUE
MPP7	-2.93375048383648	4.62958754946467e-06	0.0171711402209645	TRUE
ARHGAP20	-1.80319510065817	4.7758149239352e-06	0.0177134975528757	TRUE
PSMA1	-1.76800347425127	5.51161475434526e-06	0.0204425791238666	TRUE
IRAK3	-4.55712869677219	6.55323617277343e-06	0.0243059529648167	TRUE
TRPM2	-4.63572953264757	7.26596862136654e-06	0.0269494776166485	TRUE
ENSG00000248636	-3.00642102802068	7.26596862136654e-06	0.0269494776166485	TRUE
SLC16A10	-1.36045630736425	7.29374049729527e-06	0.0270524835044682	TRUE
ENSG00000197585	3.94388947070363	7.46251551171861e-06	0.0276784700329643	TRUE
TGFB2	-1.02875476542039	7.8113358154696e-06	0.0289722445395767	TRUE
PKIA-AS1	1.60733626839474	8.14473788358133e-06	0.0302088328102031	TRUE
APCDD1L-DT	-1.11995343465276	8.62135940391728e-06	0.0319766220291292	TRUE
ENSG00000237844	1.54482035464031	8.71983016731326e-06	0.0323418500905649	TRUE
TMEM182	-3.06072062563346	9.19374552865812e-06	0.034099602165793	TRUE
MIR7-3HG	-1.79149636120872	9.47550077409633e-06	0.0351446323711233	TRUE
NRSN1	-1.59584994958033	9.51129477351451e-06	0.0352773923149653	TRUE
MLXIPL	-4.75282224719077	9.87641134732018e-06	0.0366316096872105	TRUE
PRDM6	5.45421769501755	1.00261744613578e-05	0.037187081077176	TRUE
CPVL	-3.25488353763537	1.0727364571058e-05	0.0397877951940542	TRUE
BCAT1	1.31669271246454	1.15613356190991e-05	0.0428809938112384	TRUE
ENSG00000275443	-2.41931092608406	1.19119569757366e-05	0.0441814484230071	TRUE
MEPE	-1.0496572832063	1.24569779929717e-05	0.0462029313759321	TRUE
PPARG	-2.35936907482262	1.26910232965557e-05	0.047071005406925	TRUE
KCNIP4-IT1	-5.97343029082738	1.27858112727532e-05	0.0474225740106415	TRUE
ENSG00000274422	3.08863278210336	1.40291347130854e-05	0.0520340606508339	FALSE
PIK3AP1	-4.85593049201229	1.47204192240226e-05	0.0545980349018999	FALSE
PIK3R3	-3.04874888475997	1.48296118362516e-05	0.0550030303006573	FALSE
